0,1,2,3
OVER 60 VICTIM LOSS,,,
Crime Type,2022,2021,2020
Advanced Fee,"$49,322,099","$36,464,491","$33,184,114"
BEC,"$477,342,728","$355,805,098","$168,793,903"
(Reporting a potential business loss),"$369,773,371","$277,547,598",--*
(Reporting a personal loss),"$107,569,357","$78,257,500",--
Botnet *,"$120,621",--,--
Confidence/Romance,"$419,768,142","$432,081,901","$281,134,006"
Credit Card/Check Fraud,"$61,649,198","$39,019,072","$20,780,800"
Crimes Against Children,"$48,373",$550,"$411,349"
Data Breach,"$17,681,749","$7,095,746","$10,148,817"
Employment,"$6,403,021","$9,610,615","$16,092,611"
Extortion,"$15,555,047","$19,533,187","$18,503,168"
Government Impersonation,"$136,500,338","$69,186,858","$45,909,970"
Harassment/Stalking *,"$254,659",--,--
IPR/Copyright and Counterfeit,"$203,140","$4,954,221","$479,375"
Identity Theft,"$42,653,578","$59,022,153","$39,006,465"
Investment,"$990,235,119","$239,474,635","$98,040,940"
Lottery/Sweepstakes/Inheritance,"$69,845,106","$53,557,330","$38,804,343"
Malware,"$1,851,421","$1,177,864","$671,667"
Non-payment/Non-Delivery,"$51,531,615","$52,023,580","$40,377,167"
Other,"$31,410,237","$22,196,542","$49,689,594"
Overpayment,"$10,977,231","$9,214,129","$11,212,323"
Personal Data Breach,"$127,736,607","$103,688,489","$24,641,539"
Phishing,"$14,453,929","$9,166,217","$18,829,999"
Ransomware,"$210,052","$424,852","$5,332,312"
Real Estate,"$135,239,020","$102,071,631","$50,098,565"
SIM Swap *,"$19,515,629",--,--
Spoofing,"$22,261,276","$19,473,060","$40,886,040"
Tech Support,"$587,831,698","$237,931,278","$116,415,126"
Threats of Violence *,"$376,458","$361,549","$1,112,825"
Cryptocurrency/Cryptocurrency Wallet,"$1,088,330,051","$241,143,166","$55,056,901"
*New Crime Type added in 2022.,,,
