0,1,2,3
"2022 CRIME TYPES, Continued",,,
VICTIM OVER 60 LOSSES,,,
Crime Type,Loss,Crime Type,Loss
Investment,"$990,235,119",Spoofing,"$22,261,276"
Tech Support,"$587,831,698",SIM Swap,"$19,515,629"
BEC*,"$477,342,728",Data Breach,"$17,681,749"
(Reporting a potential business loss),"$369,773,371",Extortion,"$15,555,047"
(Reporting a personal loss),"$107,569,357",Phishing,"$14,453,929"
Confidence/Romance,"$419,768,142",Overpayment,"$10,977,231"
Government Impersonation,"$136,500,338",Employment,"$6,403,021"
Real Estate,"$135,239,020",Malware,"$1,851,421"
Personal Data Breach,"$127,736,607",Threats of Violence,"$376,458"
Lottery/Sweepstakes/Inheritance,"$69,845,106",Harassment/Stalking,"$254,659"
Credit Card/Check Fraud,"$61,649,198",Ransomware**,"$210,052"
Non-payment/Non-Delivery,"$51,531,615",IPR/Copyright and Counterfeit,"$203,140"
Advanced Fee,"$49,322,099",Botnet,"$120,621"
Identity Theft,"$42,653,578",Crimes Against Children,"$48,373"
Other,"$31,410,237",,
Descriptors*,,,
,,These descriptors relate to the medium or tool used to,
Cryptocurrency,"$827,633,473",,
,,facilitate the crime and are used by the IC3 for tracking,
Cryptocurrency Wallet,"$260,696,578",,
,,purposes only. They are available only after another,
,,crime type has been selected. Please see Appendix B for,
