0,1,2,3,4,5
VICTIMS OVER 60 LOSSES BY STATE*,,,,,
Rank,State,Loss,Rank,State,Loss
1,California,"$624,509,520",30,Arkansas,"$24,314,902"
2,Florida,"$328,114,489",31,Kentucky,"$22,494,352"
3,Texas,"$243,067,545",32,Oklahoma,"$19,455,718"
4,New York,"$212,045,216",33,Idaho,"$18,984,217"
5,Washington,"$96,213,728",34,Louisiana,"$18,374,982"
6,New Jersey,"$92,712,866",35,Hawaii,"$16,334,492"
7,Arizona,"$82,255,007",36,Nebraska,"$16,117,012"
8,Pennsylvania,"$80,250,904",37,New Hampshire,"$14,665,788"
9,Georgia,"$78,736,227",38,Delaware,"$14,023,134"
10,Illinois,"$75,905,639",39,New Mexico,"$13,382,175"
11,Massachusetts,"$70,100,868",40,Maine,"$12,741,072"
12,Colorado,"$66,826,911",41,Iowa,"$12,082,177"
13,Maryland,"$63,662,134",42,Alaska,"$7,646,998"
14,North Carolina,"$63,464,255",43,Rhode Island,"$7,314,666"
15,Virginia,"$60,641,280",44,Montana,"$6,968,157"
16,Michigan,"$52,520,999",45,Vermont,"$5,663,838"
17,Ohio,"$51,041,223",46,South Dakota,"$5,634,355"
18,Oregon,"$46,324,137",47,Mississippi,"$5,459,509"
19,Minnesota,"$39,211,355",48,Wyoming,"$5,265,283"
20,Nevada,"$38,563,008",49,West Virginia,"$4,460,124"
21,Tennessee,"$36,568,079",50,District of Columbia,"$4,399,340"
22,South Carolina,"$35,610,994",51,North Dakota,"$3,054,570"
23,Missouri,"$34,961,102",52,Puerto Rico,"$2,363,832"
24,Connecticut,"$33,660,316",53,United States Minor Outlying Islands,"$564,494"
25,Wisconsin,"$31,024,115",54,Guam,"$163,555"
26,Utah,"$27,657,757",55,"Virgin Islands, U.S.","$142,162"
27,Alabama,"$26,756,713",56,Northern Mariana Islands,"$15,500"
28,Indiana,"$26,497,603",57,American Samoa,"$14,136"
29,Kansas,"$24,435,433",,,
