0,1,2,3
,VICTIMS OVER 60 WITH A CRYPTOCURRENCY NEXUS,,
Crime Type,Victims,Crime Type,Victims
Investment,"3,292",Lottery/Sweepstakes/Inheritance,57
Tech Support,"2,076",Employment,50
Extortion,"1,963",Ransomware,36
Confidence/Romance,810,Overpayment,30
Personal Data Breach,792,BEC,16
Government Impersonation,223,Real Estate,15
Spoofing,178,Data Breach,9
Advanced Fee,175,Malware,9
Credit Card/Check Fraud,144,Harassment/Stalking,6
Phishing,140,IPR/Copyright and Counterfeit,5
Non-payment/Non-Delivery,134,Threats of Violence,3
SIM Swap,98,Botnet,2
Identity Theft,97,Crimes Against Children,1
Other,71,,
